99588,98884,1264
145784,52128,1117
145784,146866,866
145784,148656,1581
185360,91729,1427
185360,95961,1294
222109,128261,1679
222109,131008,567
258409,91445,1495
258409,168689,1922
345635,3949,1755
345635,181062,721
345635,181540,1973
418100,76571,1167
495624,153743,1497
495624,156195,727
495624,157130,1155
542520,200625,1619
542520,205500,987
590799,151356,1534
590799,251813,751
629258,190080,1625
629258,193200,1403
683494,244454,1549
683494,246497,716
683494,248574,686
767102,327724,1679
799395,294844,1088
799395,362057,556
799395,364813,546
833886,329018,1638
833886,332889,1477
852263,347371,1471
852263,349766,623
949039,444431,1557
949039,447441,1866
1011224,381584,1446
1011224,508873,869
1011224,511046,1270
1077348,447486,1669
1150432,520571,1391
1150432,523057,521
1150432,524734,1229
1219232,589302,1531
1219232,592563,1346
1305428,502333,1658
1305428,677645,553
1325611,482353,1501
1325611,526608,580
1351964,508465,1629
1351964,511059,729
1351964,512485,1701
1377708,534171,1695
1444403,600939,1543
1444403,603217,949
1444403,605530,814
1520051,524349,1635
1520051,680194,1248
1608269,612858,1331
1608269,614534,871
1640209,644896,1174
1640209,648422,1166
1737751,546691,1260
1737751,744949,704
1737751,746775,648
1834801,643901,1472
1928929,737921,1542
1928929,739890,563
1928929,742364,770
1957980,766748,1706
1957980,770559,905
1995911,728111,1376
1995911,807015,803
2046664,778571,1616
2046664,782982,1903
2127122,697116,1977
2127122,861302,925
2127122,863880,1990
2190851,761267,1536
2256511,694856,1305
2256511,828851,949
2256511,830792,1916
2324187,627186,1420
2324187,765768,1982
2386947,564225,1716
2386947,691793,757
2476571,654173,1563
2476571,657306,740
2549243,726787,1387
2549243,729012,830
2549243,730450,1432
2615093,792383,1915
2643931,762600,1619
2643931,824126,956
2643931,824582,1547
2687840,719120,1315
2687840,810463,1634
2763765,643076,1250
2763765,796720,972
2848216,727574,1267
2848216,730943,1004
2871287,703793,1553
2871287,752414,534
2871287,754285,1475
2907568,667593,1251
2960498,720182,1684
2960498,722705,681
2960498,724381,1949
3007042,766848,1447
3007042,770618,648
3100341,860210,1619
3100341,862377,686
3133646,826336,1510
3133646,897152,1386
3173022,865650,1254
3173022,867597,968
3173022,869686,1888
3240074,932354,1518
3285689,886010,1630
3285689,980758,801
3285689,981425,954
3378234,793275,1731
3378234,982190,1397
3463069,878185,1711
3463069,880806,520
3505855,921284,1188
3505855,924448,1536
3555922,971123,1705
3555922,973318,677
3555922,974155,575
3628645,897693,1312
3708918,817569,1536
3708918,980256,909
3708918,982628,864
3755844,864299,1636
3755844,867345,905
3834323,785261,1186
3834323,944958,694
3864008,755585,1192
3864008,818144,1664
3924251,815803,1179
3924251,817586,936
3924251,818804,1614
3981838,757678,1424
4061353,837049,1236
4061353,839553,878
4061353,840217,1663
4107753,790042,1362
4107753,887637,1962
4178491,718927,1831
4178491,862951,669
4214168,754665,1597
4214168,759351,1462
4294086,834752,1460
4294086,837219,714
4294086,838719,1558
4332982,873470,1699
4377334,828490,1540
4377334,920461,635
4377334,922196,1275
4393676,812223,1281
4393676,848576,1440
4453778,751799,1680
4453778,874311,923
4499859,797958,1710
4499859,801438,1325
4544314,842594,1547
4544314,844846,625
4544314,846498,1246
