21,1,10
33,1,10
33,30,7
55,1,19
70,1,5
70,34,4
93,1,13
105,7,11
105,33,4
121,1,8
145,22,6
145,52,5
161,33,13
189,1,17
189,96,7
218,27,12
228,14,7
228,66,9
252,32,15
266,46,13
266,77,3
295,77,11
317,53,10
317,129,5
331,66,8
360,89,18
360,125,6
384,116,9
408,89,7
408,157,5
427,107,11
446,82,10
446,157,3
465,62,11
479,78,14
479,94,3
493,94,9
516,111,13
516,131,4
535,87,13
558,111,9
558,141,8
587,74,16
606,96,14
606,125,5
630,66,13
650,88,7
650,104,8
671,104,17
694,131,13
694,148,3
715,107,10
739,130,8
739,160,9
767,97,9
783,115,7
783,140,9
810,141,12
838,164,14
838,190,5
861,135,12
889,162,11
889,190,5
909,139,9
920,147,10
920,169,5
943,169,11
961,143,14
961,215,3
980,161,19
1008,126,15
1008,215,6
1028,144,16
1047,163,16
1047,184,9
1063,142,12
1085,118,14
1085,180,5
1112,143,16
1131,122,5
1131,197,8
1153,140,14
1180,164,16
1180,197,8
1206,196,9
1228,172,7
1228,248,9
1238,182,9
1259,152,12
1259,220,5
1278,176,9
1301,150,6
1301,228,3
1326,176,7
1339,182,12
1339,208,7
1352,160,17
1376,191,7
1376,205,7
1394,71,107
